DL_bitrate,UL_bitrate
0.0,60.0
0.0,0.0
48.0,100.0
0.0,0.0
0.0,0.0
273.0,212.0
80.0,80.0
829967.0,31741.0
1706516.0,30520.0
229741.0,6640.0
308291.0,12970.0
478994.0,12560.0
104392.0,3160.0
317110.0,8960.0
372942.0,5120.0
255786.0,3480.0
248941.0,3360.0
314520.0,3800.0
208497.0,2640.0
790093.0,8240.0
590314.0,7080.0
388229.0,5120.0
349910.0,4560.0
352145.0,4720.0
327413.0,4640.0
354391.0,4760.0
292728.0,4040.0
318823.0,4240.0
334648.0,4480.0
383806.0,5320.0
315407.0,4080.0
356945.0,4760.0
356691.0,4720.0
277194.0,3760.0
323575.0,4360.0
395717.0,5200.0
356877.0,5040.0
387571.0,5160.0
257707.0,3120.0
243212.0,3200.0
270027.0,3520.0
466912.0,6640.0
329568.0,4664.0
359158.0,4800.0
348290.0,4600.0
352432.0,4640.0
324562.0,6467.0
311120.0,4400.0
307405.0,3920.0
312168.0,4200.0
356014.0,4720.0
404582.0,5240.0
315609.0,4240.0
352471.0,4480.0
321276.0,4360.0
269100.0,3560.0
401441.0,5480.0
333510.0,4520.0
486361.0,5614.0
239741.0,3400.0
321292.0,4200.0
323907.0,4520.0
236052.0,3360.0
395096.0,4880.0
315764.0,4160.0
270044.0,3720.0
459346.0,6240.0
246991.0,3760.0
276211.0,3600.0
360673.0,4640.0
193697.0,2560.0
350163.0,4780.0
365309.0,4880.0
251431.0,3360.0
367657.0,4800.0
219944.0,2760.0
314974.0,3880.0
355627.0,4600.0
382284.0,5360.0
421473.0,5400.0
230437.0,3320.0
261759.0,3800.0
246024.0,3440.0
355777.0,4760.0
312010.0,3700.0
332433.0,4240.0
341355.0,4200.0
346666.0,4360.0
343281.0,4640.0
354867.0,4480.0
266882.0,3560.0
382468.0,5120.0
387829.0,5040.0
437466.0,5600.0
214314.0,2960.0
369143.0,4340.0
90833.0,1240.0
142589.0,1720.0
230197.0,3560.0
90037.0,1280.0
220271.0,3480.0
304974.0,4160.0
507009.0,6560.0
388809.0,5400.0
481204.0,5280.0
166156.0,2400.0
221469.0,3000.0
184574.0,2520.0
232258.0,3354.0
518714.0,6960.0
528571.0,7240.0
264538.0,3400.0
322085.0,4840.0
353990.0,5040.0
221486.0,3160.0
276766.0,3840.0
457238.0,6000.0
444542.0,6080.0
509019.0,6800.0
478568.0,6160.0
406610.0,5480.0
292598.0,3920.0
64034.0,1080.0
125232.0,1860.0
130151.0,1680.0
152724.0,2320.0
92444.0,1560.0
129081.0,2160.0
223177.0,3840.0
107859.0,1640.0
155286.0,2360.0
115595.0,1800.0
149045.0,2280.0
108177.0,1800.0
106500.0,1760.0
83275.0,1360.0
220974.0,3280.0
228563.0,3400.0
268397.0,3760.0
314674.0,4400.0
318530.0,4520.0
435105.0,5960.0
315406.0,4040.0
299575.0,3960.0
373525.0,4800.0
360935.0,4440.0
401934.0,5040.0
190051.0,2520.0
329271.0,4680.0
79982.0,1440.0
66106.0,1560.0
19573.0,920.0
112244.0,1920.0
18067.0,840.0
109504.0,2320.0
43414.0,1200.0
91343.0,1640.0
88481.0,1560.0
58281.0,1454.0
75818.0,1760.0
598067.0,8320.0
439996.0,5560.0
448001.0,5120.0
457295.0,6520.0
545787.0,7600.0
336366.0,4360.0
377731.0,5360.0
390832.0,5520.0
247898.0,3440.0
362378.0,5000.0
344503.0,4840.0
275371.0,4040.0
96788.0,1520.0
179958.0,2960.0
92906.0,1560.0
222889.0,3160.0
180270.0,2760.0
201217.0,3120.0
95315.0,1520.0
206694.0,3080.0
144215.0,2240.0
96430.0,1720.0
96718.0,1640.0
183715.0,2640.0
220158.0,3480.0
175438.0,2760.0
202989.0,2960.0
121482.0,2040.0
310056.0,4520.0
183335.0,2640.0
139050.0,2000.0
210286.0,3120.0
162014.0,2460.0
135335.0,2080.0
154056.0,2360.0
136799.0,2080.0
96710.0,1600.0
250829.0,3960.0
254537.0,3360.0
145768.0,2360.0
245402.0,3480.0
461844.0,6440.0
394698.0,5520.0
514368.0,7360.0
537457.0,7040.0
346858.0,4960.0
392370.0,5080.0
349801.0,4040.0
414739.0,5294.0
242631.0,3520.0
425202.0,5760.0
329023.0,4560.0
284537.0,4120.0
287078.0,3920.0
443307.0,6240.0
244047.0,3520.0
293955.0,3880.0
129572.0,2140.0
323354.0,4680.0
218354.0,3200.0
216035.0,3160.0
191359.0,2960.0
373355.0,5100.0
309252.0,4320.0
222717.0,3440.0
310000.0,4560.0
187158.0,2720.0
303370.0,4080.0
147051.0,2280.0
211783.0,2800.0
283072.0,3920.0
173714.0,2400.0
276607.0,3920.0
273613.0,4280.0
203981.0,2600.0
179070.0,2600.0
238148.0,3560.0
209562.0,3040.0
239186.0,3520.0
330301.0,4600.0
493550.0,6520.0
195228.0,3160.0
317239.0,4800.0
298771.0,4200.0
234463.0,3520.0
338714.0,4680.0
290307.0,4280.0
256733.0,3640.0
469564.0,6800.0
439981.0,6160.0
297884.0,4400.0
386826.0,5240.0
464058.0,6400.0
279799.0,4040.0
420565.0,5200.0
293105.0,3800.0
264519.0,3720.0
396186.0,5040.0
222665.0,3334.0
332227.0,4640.0
398000.0,5480.0
372475.0,4680.0
254667.0,3720.0
295910.0,4160.0
445777.0,5480.0
219179.0,3400.0
490145.0,6400.0
342496.0,4760.0
412481.0,6000.0
470611.0,6480.0
288130.0,3520.0
391099.0,5320.0
271003.0,3800.0
455055.0,6240.0
318095.0,4160.0
397031.0,5240.0
289025.0,4320.0
344659.0,4400.0
401523.0,5320.0
305439.0,4200.0
300337.0,4360.0
366439.0,5120.0
356924.0,4880.0
312266.0,4120.0
248105.0,3840.0
264894.0,3600.0
201260.0,2840.0
260488.0,3960.0
184942.0,2600.0
277230.0,4160.0
441089.0,6200.0
247755.0,3840.0
374780.0,5080.0
364348.0,5280.0
211816.0,2720.0
363617.0,4880.0
372572.0,5320.0
211047.0,2960.0
332400.0,4920.0
347887.0,5000.0
169711.0,2280.0
353297.0,5040.0
304985.0,4200.0
254438.0,3320.0
353519.0,5360.0
317856.0,4360.0
256904.0,3880.0
