DL_bitrate,UL_bitrate
553,665.0
5796,2702.0
21510,16201.0
471069,14663.0
817,756.0
987,1264.0
409,508.0
20903,3613.0
8755,7155.0
3432,1720.0
2605,435.0
2079,1077.0
9623,19030.0
7447,5560.0
3752,2232.0
3076,1981.0
3447,2314.0
3371,1974.0
2918,2222.0
7173,4795.0
2707,1998.0
3002,2005.0
3838,2112.0
14348,2662.0
3517,2714.0
3044,2005.0
3254,2791.0
3222,2582.0
12782,2635.0
8552,1998.0
6630,2371.0
7252,2037.0
8307,2311.0
8780,2308.0
8469,2851.0
6789,2112.0
7319,2403.0
7574,4253.0
8142,2188.0
7710,1973.0
7926,2005.0
7764,2670.0
7651,2142.0
9501,2516.0
7690,1949.0
5967,2155.0
7463,2894.0
8149,1981.0
8343,2109.0
8582,2038.0
7787,1977.0
9138,2061.0
7917,2056.0
8092,2642.0
8591,2223.0
8715,1973.0
8694,2610.0
8949,2271.0
9332,2291.0
3946,2222.0
2486,1858.0
2088,1612.0
2145,1692.0
2389,1845.0
1626,1532.0
1797,1591.0
1908,2012.0
1905,4020.0
1929,2103.0
1695,1696.0
1531,1591.0
1816,1696.0
1859,1778.0
1691,1767.0
1605,1676.0
1719,2044.0
1902,2460.0
1937,1707.0
1894,2011.0
1534,1788.0
1664,1670.0
1537,1731.0
1871,1704.0
1892,1846.0
1805,1989.0
1532,1597.0
1684,2010.0
2436,1777.0
2916,1767.0
3194,1885.0
3317,1860.0
3311,1597.0
3904,1782.0
4641,1845.0
4361,1597.0
3747,3128.0
4566,2009.0
3419,1628.0
3636,1846.0
4698,1694.0
4830,1993.0
4734,1960.0
6664,1818.0
5694,1854.0
5442,1707.0
5822,1706.0
6755,1962.0
6588,1738.0
6744,1876.0
6348,1628.0
6440,1760.0
6469,1947.0
6080,1919.0
6570,2406.0
6048,1709.0
6418,1709.0
5287,1882.0
5577,1869.0
5324,1991.0
5314,1707.0
5266,1971.0
5420,1570.0
5225,1999.0
5598,2165.0
5477,1628.0
5370,2667.0
6048,2120.0
5529,1684.0
5518,2097.0
5564,1658.0
6061,1860.0
5290,1880.0
5926,1958.0
6044,2057.0
5472,2063.0
6182,2073.0
7256,2224.0
7290,1911.0
8937,2009.0
7701,1894.0
7223,2062.0
6665,1898.0
8700,1855.0
8815,2155.0
7327,2002.0
7477,2178.0
8896,2365.0
8086,2166.0
10504,2028.0
7856,2040.0
7516,2053.0
9790,1987.0
7073,3816.0
8902,4073.0
9186,2570.0
7059,4412.0
6645,2879.0
6698,2174.0
7228,2555.0
7154,2365.0
6111,2370.0
6215,2361.0
11914,2365.0
7279,2654.0
7162,2506.0
7396,2454.0
7073,2935.0
5915,2688.0
6516,2719.0
5885,2306.0
9585,2563.0
5949,2517.0
9899,2385.0
7893,3140.0
5866,2590.0
6010,2282.0
5987,2734.0
7190,2961.0
6212,2887.0
6019,2704.0
7819,2539.0
6826,2484.0
6258,2519.0
6766,2999.0
6127,2467.0
6977,4921.0
6191,2707.0
5268,2542.0
5373,2644.0
5122,2729.0
8288,2580.0
7944,2611.0
5674,2744.0
6401,2550.0
5939,2512.0
6889,3517.0
6436,2807.0
6133,2478.0
5639,2661.0
4736,2623.0
5437,2551.0
5849,2398.0
7169,2088.0
6316,2423.0
4852,2483.0
4606,2264.0
6113,2923.0
4758,2650.0
8047,2493.0
7662,2254.0
5486,2744.0
5300,2638.0
6093,2452.0
5320,2607.0
3887,2352.0
4557,2643.0
3920,2782.0
4033,3266.0
4393,2624.0
4132,2520.0
5347,2462.0
4057,2819.0
4036,2839.0
2826,2592.0
3760,2423.0
4085,2645.0
3836,2909.0
6252,2557.0
5739,2719.0
