DL_bitrate,UL_bitrate
16101.0,4125.0
3494.0,1947.0
493374.0,8349.0
665583.0,4110.0
757277.0,3859.0
796371.0,3970.0
771810.0,3930.0
770789.0,4022.0
794214.0,3918.0
792447.0,4604.0
840602.0,8066.0
925669.0,4658.0
774170.0,4896.0
528392.0,4205.0
867043.0,4202.0
753338.0,3970.0
778336.0,4202.0
778947.0,4062.0
819077.0,4110.0
735385.0,7148.0
766875.0,4372.0
780348.0,4198.0
825240.0,5025.0
889403.0,4958.0
864657.0,5029.0
809572.0,4892.0
835988.0,9410.0
834347.0,10378.0
777998.0,6216.0
807270.0,5142.0
785084.0,5001.0
826328.0,5178.0
759287.0,4462.0
771893.0,4586.0
789705.0,4060.0
775305.0,4656.0
882109.0,4988.0
806394.0,4970.0
937978.0,4888.0
975407.0,5010.0
987335.0,5858.0
854015.0,6333.0
1008932.0,12008.0
952171.0,5496.0
1084566.0,4268.0
201163.0,4062.0
851285.0,4455.0
899728.0,4730.0
672060.0,4730.0
773655.0,4304.0
1015720.0,5605.0
1084784.0,6473.0
1045891.0,7236.0
975651.0,6248.0
920559.0,5034.0
1056619.0,8934.0
1046996.0,5351.0
964108.0,6572.0
981982.0,8193.0
1027947.0,7589.0
1055891.0,6754.0
1090985.0,7017.0
977168.0,6811.0
1346700.0,5229.0
316330.0,4048.0
1076158.0,4062.0
841346.0,5820.0
831544.0,4110.0
943474.0,5988.0
857160.0,4840.0
1017795.0,5702.0
248555.0,4030.0
1095574.0,4040.0
1063829.0,4993.0
1099543.0,6799.0
1089785.0,7718.0
1094910.0,5268.0
1069832.0,5655.0
1079060.0,4975.0
1115428.0,4092.0
1070268.0,4401.0
1043267.0,4000.0
1067066.0,3970.0
1046901.0,6476.0
1065968.0,4542.0
1066781.0,6647.0
1051600.0,6690.0
1093528.0,7057.0
1113866.0,4799.0
948194.0,5767.0
1089973.0,8254.0
1095609.0,4801.0
1071107.0,4670.0
1092639.0,4748.0
1118004.0,3930.0
1050933.0,4122.0
1038451.0,6986.0
1083567.0,6318.0
1084486.0,5027.0
1113171.0,4458.0
974185.0,6240.0
1101397.0,4141.0
1111586.0,4472.0
1054187.0,4516.0
1090150.0,4372.0
1082201.0,4110.0
1082095.0,3970.0
1071518.0,7895.0
1083608.0,4212.0
1042905.0,4538.0
1005320.0,4724.0
1116835.0,6510.0
1063571.0,4678.0
1005414.0,4793.0
1060239.0,5212.0
986833.0,4250.0
1070485.0,5480.0
1048949.0,5609.0
1086682.0,6369.0
1084331.0,4486.0
976197.0,4439.0
1078514.0,3899.0
965307.0,3918.0
875587.0,4236.0
950602.0,3930.0
907538.0,3970.0
812620.0,4156.0
979751.0,3838.0
950312.0,4254.0
951129.0,4427.0
1007964.0,4538.0
1048200.0,4427.0
901743.0,4661.0
1018597.0,4559.0
1024214.0,3958.0
947803.0,4156.0
975627.0,4022.0
949582.0,3918.0
865506.0,4072.0
973152.0,4498.0
977994.0,4486.0
1011955.0,4550.0
938172.0,4467.0
896302.0,4661.0
939332.0,4288.0
916888.0,3918.0
996436.0,3970.0
971612.0,3970.0
1064971.0,4041.0
887803.0,4630.0
996712.0,4590.0
1049704.0,4653.0
998914.0,4498.0
963479.0,4709.0
906863.0,4236.0
932155.0,3819.0
1036588.0,4010.0
1052503.0,3890.0
1027238.0,3918.0
955420.0,4550.0
912739.0,4126.0
929789.0,4022.0
947043.0,3878.0
989287.0,3819.0
1052260.0,4196.0
949969.0,3970.0
983097.0,3850.0
1006324.0,4133.0
1022068.0,4471.0
936302.0,3982.0
899966.0,3918.0
915765.0,3890.0
942944.0,3970.0
1002342.0,4022.0
994741.0,4113.0
948006.0,3970.0
915229.0,4208.0
802818.0,3918.0
894460.0,5770.0
967726.0,3890.0
948115.0,4418.0
1015729.0,4467.0
1052789.0,4661.0
1016124.0,4375.0
1016985.0,4844.0
1031092.0,4278.0
1017563.0,3918.0
916917.0,3930.0
