DL_bitrate,UL_bitrate
42235,171
325127,174
489465,406
405070,403
24154,116
35418,635
3807,110
580,110
819,430
2040,423
11606,556
122,294
1991,165
747,110
159,165
146,140
1376,899
871,113
521,446
4177,270
496,376
234,220
1406,220
638,98
6486,398
10832,327
332,286
122,415
341,806
747,200
755,140
370,473
442,732
269,325
502,185
240,214
2119,852
549,0
594,449
1667,412
4708,959
637,753
497,736
850,220
455,570
1027,525
628,55
327,171
531,55
289,220
781,672
3294,1951
6654,2914
7044,3378
34451,3569
18522,461
549,55
1907,723
540,242
944,275
388,55
900,165
921,275
1159,232
1331,442
146,497
1244,275
1635,256
298,340
387,903
6662,1104
3568,467
330,438
675,521
673,0
747,55
618,428
142,160
328,110
0,168
1514,1215
1370,910
444,432
1897,588
61,658
17205,406
495,165
1687,267
482,165
1367,286
519,171
417,165
61,382
744,153
278,110
388,528
252,58
195,687
1911,429
1053,306
8216,924
7348,789
898,271
1254,211
2389,758
854,206
0,110
0,165
735,201
1191,55
652,206
1371,275
495,426
645,165
1272,673
12307,306
1559,296
391,679
687,774
838,55
575,823
662,282
425,1153
323,290
681,412
348,343
2915,546
2830,110
193,417
1460,336
15551,739
10594,371
996,168
797,333
390,548
1761,0
1351,381
580,1011
439,758
896,446
122,198
895,1547
61,219
2977,516
934,328
16501,539
5250,233
771,839
702,479
600,570
610,195
122,195
733,612
431,509
450,486
86,187
1629,220
828,694
703,424
384,760
14579,559
3395,538
1043,512
1915,1033
388,1171
2099,1092
533,168
425,555
966,232
726,110
704,367
1275,182
520,391
612,223
438,261
10987,1057
5377,635
2917,264
322,307
0,499
300,512
81,318
203,321
1536,327
974,266
1393,55
1008,388
86,266
342,332
0,55
453,110
15641,558
446,671
214,657
511,316
260,58
568,110
858,533
485,479
1375,110
268,549
61,384
438,725
481,321
658,110
4994,110
20094,760
793,377
1349,537
64,261
159,1278
1223,417
797,484
1360,113
0,0
936,807
193,477
1361,854
1776,116
575,431
1120,58
17227,348
542,472
279,426
2319,271
61,58
187,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
61,0
15094,58
135439,345
15631,116
373,361
0,98
372,55
324,55
170,257
804,0
1360,282
1360,153
61,208
0,0
6103,171
10483,221
0,156
0,1293
2604,165
0,429
2550,471
58,276
0,0
0,374
58,215
0,1338
122,76
0,1349
0,0
0,468
888,0
3907,0
0,55
61,1011
58,1598
0,1536
0,1259
119,1122
0,293
0,1447
1280,64
0,1321
1371,98
2683,306
1360,0
0,153
244,466
61,0
64,55
0,98
0,0
61,0
0,0
0,0
0,0
0,0
61,55
0,0
0,98
0,0
0,0
0,0
0,0
0,0
61,0
0,98
0,55
0,0
0,0
1360,0
0,113
0,0
0,0
0,98
0,0
0,0
1309,55
0,0
0,0
0,76
61,0
0,0
0,0
61,0
0,0
61,0
1264,55
0,55
0,0
2682,0
1279,0
310,0
1524,509
24585,153
12285,174
9520,0
8629,0
0,0
0,0
0,0
0,0
0,0
0,0
1360,0
0,0
0,0
