DL_bitrate,UL_bitrate
0.0,108.0
0.0,1422.0
0.0,5291.0
0.0,5467.0
0.0,10389.0
0.0,5555.0
0.0,5622.0
0.0,41644.0
0.0,109842.0
6182.0,104812.0
9688.0,113085.0
72838.0,142216.0
112875.0,95716.0
152139.0,106208.0
154532.0,141768.0
78974.0,111584.0
94285.0,120757.0
80377.0,165231.0
99254.0,104405.0
100882.0,133317.0
107321.0,158468.0
103917.0,123369.0
101965.0,122097.0
96387.0,131942.0
108544.0,115277.0
114888.0,94996.0
104365.0,146269.0
103617.0,136451.0
111664.0,141617.0
111538.0,122146.0
98171.0,138829.0
112805.0,155608.0
106674.0,126987.0
98823.0,120662.0
92738.0,116431.0
97104.0,102277.0
119846.0,111316.0
85658.0,115836.0
102464.0,109866.0
107178.0,116832.0
109164.0,136282.0
109287.0,143823.0
106878.0,137821.0
116702.0,126514.0
127521.0,130257.0
125922.0,128684.0
128076.0,133841.0
141355.0,130785.0
130664.0,125280.0
123430.0,123426.0
150107.0,152554.0
132834.0,100304.0
117889.0,134513.0
142626.0,133339.0
130044.0,102814.0
127450.0,124085.0
135704.0,94433.0
131948.0,111925.0
127687.0,138606.0
135407.0,120237.0
133058.0,130703.0
127792.0,126786.0
133137.0,129030.0
127431.0,128455.0
133400.0,140353.0
138811.0,117790.0
134697.0,165264.0
143432.0,97065.0
128149.0,139262.0
129200.0,125626.0
138280.0,127897.0
134201.0,124769.0
134754.0,137891.0
121243.0,133530.0
136289.0,128154.0
131339.0,141970.0
134907.0,125661.0
132979.0,132547.0
130161.0,103914.0
129642.0,142045.0
126593.0,128505.0
132024.0,120633.0
137708.0,134824.0
150485.0,137727.0
137136.0,136311.0
135071.0,134960.0
106706.0,121288.0
127850.0,115071.0
123132.0,135109.0
132168.0,131207.0
140249.0,120065.0
161197.0,135087.0
105420.0,122796.0
131714.0,130034.0
129628.0,142170.0
129257.0,141070.0
127097.0,128081.0
137253.0,133189.0
125867.0,129848.0
137633.0,113905.0
130171.0,130857.0
146597.0,111181.0
120375.0,146775.0
123388.0,116958.0
121881.0,148927.0
134536.0,127077.0
152974.0,126802.0
113139.0,122741.0
131928.0,126362.0
121297.0,122505.0
129661.0,129962.0
144601.0,148733.0
125569.0,117799.0
151730.0,130391.0
113544.0,117403.0
128898.0,122629.0
133110.0,135672.0
136281.0,124930.0
133749.0,126436.0
128284.0,128478.0
140435.0,128437.0
134269.0,124923.0
128811.0,128020.0
127885.0,117934.0
133881.0,115498.0
133421.0,92691.0
133084.0,94818.0
140341.0,100931.0
134033.0,99122.0
132043.0,94392.0
134376.0,102822.0
131560.0,100422.0
130726.0,101830.0
129307.0,97200.0
133950.0,100157.0
142265.0,102616.0
133934.0,91757.0
121952.0,99176.0
126515.0,88399.0
133943.0,93967.0
128847.0,100870.0
130236.0,93057.0
147161.0,96981.0
132833.0,99682.0
136540.0,92144.0
138661.0,143365.0
124326.0,99919.0
132854.0,94515.0
125091.0,98072.0
140017.0,105249.0
133404.0,101202.0
143974.0,97108.0
119605.0,101927.0
136235.0,92792.0
132531.0,95557.0
133841.0,90340.0
132158.0,101672.0
133125.0,98305.0
139328.0,101362.0
121891.0,108104.0
136092.0,96379.0
150498.0,94118.0
111133.0,94382.0
133589.0,99267.0
130529.0,100147.0
153134.0,92532.0
136848.0,125193.0
126626.0,118268.0
142881.0,119948.0
121038.0,122227.0
115975.0,114784.0
129178.0,117855.0
132909.0,108840.0
128957.0,95105.0
132519.0,100855.0
133046.0,96619.0
123011.0,90831.0
148706.0,92498.0
132597.0,99331.0
138287.0,94112.0
128987.0,97980.0
133842.0,101358.0
139634.0,116110.0
138720.0,124972.0
124908.0,131099.0
122333.0,138216.0
162774.0,123647.0
111568.0,111943.0
126040.0,126132.0
134785.0,114358.0
123673.0,113125.0
137383.0,108191.0
126075.0,115840.0
135984.0,111526.0
138934.0,97672.0
143583.0,105899.0
143476.0,102992.0
122808.0,106112.0
113435.0,99824.0
131897.0,93483.0
127625.0,87779.0
131004.0,100594.0
145424.0,98443.0
128616.0,92537.0
139312.0,99008.0
151763.0,93591.0
133370.0,109458.0
102470.0,149614.0
143638.0,128689.0
117825.0,126857.0
130510.0,110714.0
118048.0,132291.0
129193.0,120440.0
121331.0,126490.0
111319.0,123191.0
131696.0,127332.0
137303.0,114018.0
149431.0,102533.0
106778.0,107461.0
132864.0,99588.0
149180.0,107462.0
118564.0,107591.0
121530.0,111484.0
123295.0,96090.0
128149.0,108644.0
122921.0,139405.0
137035.0,155695.0
130539.0,117804.0
140263.0,129745.0
124922.0,115284.0
132720.0,114111.0
129518.0,116572.0
134692.0,120699.0
132305.0,120674.0
127472.0,126235.0
126723.0,143260.0
137933.0,122674.0
134342.0,138929.0
127154.0,128485.0
124079.0,108557.0
133825.0,119559.0
130748.0,127609.0
131945.0,131825.0
161085.0,142072.0
106738.0,133554.0
130203.0,106409.0
127940.0,114071.0
135061.0,125796.0
140197.0,133423.0
128017.0,140339.0
131739.0,107831.0
136343.0,139811.0
139426.0,136801.0
126858.0,131630.0
137331.0,121617.0
133153.0,125664.0
132157.0,131999.0
132637.0,132261.0
135244.0,123639.0
128552.0,101943.0
128901.0,124023.0
131415.0,129150.0
136999.0,123632.0
131821.0,128418.0
131864.0,133355.0
130504.0,137773.0
125692.0,118208.0
133092.0,121739.0
134623.0,133733.0
127462.0,134072.0
141512.0,111776.0
120150.0,120067.0
125060.0,142179.0
132456.0,118884.0
135222.0,123047.0
130532.0,140651.0
130507.0,126541.0
134936.0,120292.0
140145.0,113442.0
137114.0,121487.0
128717.0,144347.0
135864.0,120479.0
143044.0,115629.0
133967.0,136469.0
131630.0,129965.0
136144.0,130795.0
134636.0,138732.0
135750.0,103111.0
128957.0,127734.0
129261.0,119064.0
128747.0,136788.0
123025.0,114079.0
136666.0,123216.0
131425.0,140648.0
143972.0,136843.0
120557.0,126522.0
142668.0,123030.0
131661.0,126540.0
135133.0,119078.0
123982.0,113749.0
136136.0,126783.0
148243.0,133916.0
122877.0,122410.0
141330.0,129328.0
136730.0,139535.0
137179.0,116065.0
142413.0,113337.0
124550.0,129527.0
120137.0,125920.0
135184.0,144988.0
131761.0,125539.0
135142.0,107759.0
141498.0,123994.0
136540.0,126959.0
134060.0,124761.0
151156.0,144153.0
116565.0,109083.0
117689.0,123686.0
127877.0,132756.0
136512.0,129463.0
141361.0,143547.0
149645.0,126581.0
132585.0,128068.0
109505.0,117849.0
127719.0,125319.0
124926.0,131189.0
128233.0,122293.0
124166.0,120686.0
136503.0,128526.0
120658.0,110711.0
129186.0,123957.0
134662.0,137503.0
132137.0,149822.0
129156.0,118196.0
134121.0,111825.0
128670.0,136144.0
112489.0,125375.0
132247.0,121732.0
131605.0,134743.0
136663.0,105106.0
125468.0,133994.0
134676.0,116203.0
126187.0,119435.0
130947.0,129689.0
138863.0,116706.0
126552.0,135939.0
127488.0,112601.0
135392.0,129157.0
134884.0,137980.0
138282.0,134202.0
139057.0,124346.0
121284.0,125292.0
136124.0,122860.0
139540.0,121088.0
126904.0,140135.0
152125.0,106144.0
122106.0,118080.0
130683.0,121622.0
140805.0,139393.0
125926.0,124893.0
146020.0,133932.0
119315.0,125902.0
134489.0,123444.0
133491.0,122778.0
134130.0,142371.0
149535.0,118594.0
128016.0,132927.0
130715.0,127427.0
131105.0,123624.0
145446.0,133855.0
121675.0,121556.0
135679.0,107120.0
151611.0,123816.0
115537.0,123543.0
133525.0,125599.0
136764.0,127301.0
139285.0,152270.0
168383.0,127964.0
89664.0,110053.0
140132.0,110227.0
135973.0,124885.0
133356.0,146931.0
134876.0,122994.0
134386.0,125990.0
145382.0,136571.0
125023.0,121392.0
127627.0,119008.0
139909.0,116199.0
136224.0,124950.0
124399.0,124198.0
139463.0,155131.0
134610.0,111793.0
137848.0,118463.0
131824.0,130256.0
135067.0,121051.0
124368.0,124074.0
138568.0,131651.0
130758.0,111065.0
136792.0,125685.0
124748.0,124075.0
126031.0,133974.0
152659.0,142794.0
118882.0,123895.0
130255.0,125902.0
130066.0,129972.0
132120.0,125544.0
134453.0,120000.0
131411.0,136288.0
139481.0,131274.0
133326.0,127090.0
132782.0,132267.0
129583.0,122237.0
135486.0,124398.0
135984.0,126351.0
128076.0,131654.0
135105.0,121578.0
130179.0,116706.0
121520.0,125453.0
126032.0,150083.0
142968.0,123585.0
126475.0,128162.0
136247.0,117198.0
153982.0,133653.0
127337.0,123221.0
131065.0,125431.0
130541.0,119524.0
128817.0,128288.0
138849.0,130869.0
133809.0,125330.0
125292.0,124563.0
133753.0,122914.0
134797.0,122484.0
125426.0,124322.0
128619.0,129290.0
107572.0,117105.0
123249.0,128984.0
115660.0,128112.0
128405.0,134819.0
136615.0,128120.0
115840.0,122366.0
119146.0,125775.0
133885.0,126227.0
128711.0,119520.0
130504.0,123968.0
122215.0,123179.0
121104.0,128250.0
132292.0,123882.0
126257.0,122046.0
125237.0,126082.0
134836.0,122072.0
127729.0,134285.0
130385.0,124898.0
121800.0,120783.0
134145.0,132438.0
118169.0,126440.0
130923.0,118460.0
89764.0,125835.0
157468.0,127236.0
126680.0,113459.0
143032.0,127085.0
130130.0,125501.0
118100.0,112124.0
130892.0,132952.0
99037.0,137839.0
154718.0,134009.0
123896.0,159486.0
143531.0,92241.0
125563.0,102311.0
137717.0,138471.0
126975.0,127639.0
137939.0,128015.0
130510.0,129361.0
125701.0,127610.0
130490.0,116768.0
136770.0,125568.0
131792.0,132953.0
137486.0,124322.0
132921.0,130437.0
129786.0,115064.0
134953.0,124312.0
125321.0,125712.0
136291.0,123508.0
131492.0,122815.0
135964.0,128551.0
130096.0,130320.0
138282.0,128188.0
131218.0,123856.0
129644.0,132024.0
133617.0,122497.0
131181.0,128774.0
138687.0,133283.0
123248.0,118676.0
136383.0,118954.0
135146.0,134925.0
134969.0,121462.0
116681.0,109230.0
138047.0,101941.0
137955.0,106429.0
127877.0,106398.0
126947.0,120701.0
127919.0,106945.0
137633.0,105916.0
130548.0,117933.0
133305.0,122966.0
121636.0,122145.0
139004.0,137572.0
136835.0,112008.0
121726.0,127730.0
137387.0,124736.0
133411.0,96539.0
132112.0,113001.0
132412.0,121265.0
134721.0,114582.0
119823.0,120752.0
133538.0,111661.0
134994.0,121462.0
138105.0,113570.0
121697.0,113926.0
141321.0,115962.0
129518.0,117849.0
134594.0,115825.0
120334.0,116832.0
135361.0,122229.0
125438.0,115389.0
130377.0,117508.0
126637.0,112462.0
139551.0,115223.0
129533.0,123734.0
132082.0,110003.0
130487.0,108111.0
143016.0,121616.0
151047.0,118345.0
101629.0,100923.0
139188.0,110020.0
127511.0,109625.0
137566.0,111738.0
129161.0,110331.0
137907.0,113385.0
129763.0,121708.0
155994.0,155513.0
114161.0,132230.0
126687.0,120008.0
126022.0,120995.0
122746.0,128274.0
132893.0,129045.0
133033.0,116840.0
114287.0,124837.0
126510.0,118077.0
117665.0,128136.0
127616.0,125183.0
134702.0,126613.0
121537.0,140280.0
131171.0,138359.0
136375.0,124398.0
125281.0,118722.0
135071.0,127756.0
150319.0,148971.0
121085.0,128734.0
153782.0,132014.0
118025.0,127050.0
123896.0,135895.0
137857.0,117435.0
133077.0,120357.0
162433.0,118534.0
101577.0,127746.0
129246.0,125890.0
143360.0,114001.0
140425.0,126090.0
145484.0,123665.0
116684.0,112994.0
157326.0,120287.0
115137.0,116266.0
121016.0,119165.0
135239.0,126054.0
140317.0,119726.0
