DL_bitrate,UL_bitrate
0.0,76.0
60386.0,11246.0
787.0,1886.0
2287.0,2057.0
0.0,0.0
187951.0,1589.0
7098.0,2367.0
0.0,0.0
1579.0,2081.0
2508.0,80.0
214.0,255.0
0.0,0.0
0.0,103.0
6293.0,1893.0
669.0,406.0
0.0,0.0
4050.0,1572.0
278.0,40.0
0.0,100.0
1283.0,3196.0
927.0,295.0
15744.0,3625.0
1431.0,2068.0
1789.0,1398.0
2400.0,1608.0
1619.0,3500.0
913.0,900.0
1097.0,902.0
917.0,798.0
1666.0,924.0
1465.0,798.0
1005.0,800.0
2387.0,1104.0
970.0,862.0
884.0,798.0
946.0,913.0
1155.0,1002.0
1085.0,1136.0
910.0,849.0
1131.0,1066.0
2874.0,725.0
978.0,862.0
1728.0,798.0
3042.0,1055.0
812.0,849.0
1033.0,913.0
869.0,798.0
2052.0,851.0
1909.0,1002.0
1059.0,913.0
624.0,645.0
1777.0,953.0
1416.0,951.0
1255.0,1168.0
1036.0,900.0
1009.0,913.0
970.0,900.0
1138.0,902.0
1036.0,900.0
1073.0,1015.0
1010.0,838.0
25832.0,3968.0
976.0,951.0
1209.0,1004.0
1066.0,951.0
1220.0,1117.0
1034.0,900.0
1134.0,1034.0
830.0,747.0
1048.0,851.0
1156.0,1053.0
1158.0,1015.0
1030.0,900.0
1203.0,1168.0
1203.0,1155.0
1271.0,1055.0
1065.0,1070.0
1301.0,1055.0
1126.0,1053.0
1236.0,1117.0
1008.0,900.0
988.0,964.0
1251.0,1042.0
1047.0,913.0
983.0,849.0
1053.0,862.0
841.0,798.0
1303.0,1055.0
973.0,849.0
1241.0,1168.0
1133.0,1002.0
1093.0,973.0
1074.0,1053.0
1253.0,1106.0
956.0,849.0
1101.0,1015.0
982.0,900.0
1300.0,1187.0
975.0,849.0
1163.0,1066.0
1031.0,1053.0
1191.0,1066.0
1004.0,849.0
1133.0,902.0
1018.0,951.0
1688.0,1066.0
1372.0,798.0
2277.0,953.0
12357.0,2525.0
1499.0,962.0
1028.0,794.0
1640.0,1111.0
2012.0,1180.0
1529.0,1282.0
1849.0,1278.0
1916.0,1303.0
2080.0,1800.0
2141.0,1972.0
2327.0,1881.0
3231.0,1987.0
6033.0,2428.0
2432.0,2051.0
3300.0,1480.0
2953.0,1923.0
2307.0,1194.0
2433.0,1461.0
1495.0,771.0
1662.0,740.0
6337.0,1414.0
1826.0,855.0
181.0,130.0
10092.0,2257.0
3760.0,857.0
768.0,463.0
662.0,470.0
698.0,412.0
8217.0,1680.0
1071.0,398.0
381.0,344.0
2039.0,1107.0
9559.0,4245.0
3122.0,1368.0
3422.0,1564.0
3404.0,1397.0
3062.0,1333.0
4539.0,1682.0
4831.0,1474.0
4643.0,1677.0
3688.0,1691.0
5926.0,1919.0
4301.0,1502.0
6801.0,2044.0
4815.0,1782.0
3661.0,1843.0
3510.0,1026.0
1556.0,1239.0
1712.0,1106.0
1609.0,1072.0
3721.0,1253.0
318.0,463.0
4524.0,798.0
596.0,475.0
16094.0,2226.0
3678.0,826.0
1319.0,540.0
129.0,201.0
2130.0,567.0
1989.0,752.0
2061.0,954.0
2596.0,540.0
998.0,506.0
860.0,484.0
1641.0,568.0
1572.0,443.0
302.0,361.0
608.0,758.0
12808.0,1315.0
3141.0,1410.0
1754.0,678.0
1884.0,530.0
4434.0,1530.0
5841.0,1898.0
4723.0,1704.0
6075.0,1936.0
5881.0,1613.0
8249.0,1885.0
11966.0,2179.0
7075.0,2138.0
8768.0,1806.0
