DL_bitrate,UL_bitrate
0.0,60.0
16457.0,6078.0
289878.0,30989.0
45702.0,11679.0
219007.0,8554.0
923.0,711.0
2797.0,1638.0
3476.0,1970.0
2607.0,1874.0
5383.0,2703.0
5011.0,3194.0
267010.0,15846.0
22335.0,6462.0
5698.0,1855.0
7011.0,2689.0
51068.0,6759.0
47409.0,3343.0
3558.0,2693.0
3694.0,2205.0
1468.0,1630.0
19250.0,2509.0
1571.0,363.0
1505.0,476.0
663.0,350.0
6332.0,1203.0
842.0,3196.0
260.0,97.0
300.0,80.0
1389.0,1774.0
2050.0,539.0
475.0,177.0
680.0,120.0
1505.0,489.0
818.0,390.0
1125.0,849.0
83682.0,13165.0
266.0,336.0
23914.0,4418.0
14493.0,2707.0
6098.0,1259.0
344.0,137.0
253.0,80.0
16477.0,1910.0
549.0,350.0
3625.0,1187.0
31474.0,972.0
449.0,163.0
400.0,120.0
346.0,319.0
23801.0,7538.0
155287.0,14967.0
5463.0,2547.0
385.0,120.0
93.0,40.0
231.0,80.0
451.0,40.0
0.0,0.0
130.0,40.0
480.0,120.0
769.0,160.0
1796.0,1828.0
328.0,120.0
226.0,80.0
846.0,240.0
385.0,120.0
2303.0,400.0
0.0,0.0
1834.0,440.0
517.0,160.0
2423.0,440.0
5047.0,1040.0
4370.0,880.0
5999.0,1200.0
3177.0,600.0
2249.0,480.0
19599.0,760.0
5286.0,600.0
4146.0,840.0
3170.0,680.0
108336.0,41548.0
11753.0,6231.0
260.0,157.0
6372.0,3597.0
392.0,790.0
6412.0,2583.0
12732.0,5182.0
6399.0,3111.0
442.0,336.0
1290.0,1594.0
1130.0,650.0
222.0,228.0
0.0,0.0
353.0,97.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
0.0,0.0
167.0,266.0
300.0,229.0
315.0,155.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,130.0
672.0,334.0
6595.0,9587.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
0.0,0.0
260.0,210.0
278.0,250.0
244.0,230.0
0.0,0.0
243.0,193.0
0.0,0.0
260.0,210.0
0.0,0.0
243.0,193.0
0.0,0.0
260.0,210.0
150.0,268.0
315.0,155.0
0.0,0.0
260.0,210.0
0.0,0.0
243.0,193.0
0.0,0.0
260.0,210.0
0.0,0.0
243.0,193.0
167.0,285.0
293.0,155.0
283.0,233.0
253.0,0.0
0.0,0.0
260.0,210.0
0.0,0.0
230.0,233.0
0.0,0.0
513.0,210.0
221.0,193.0
244.0,230.0
0.0,0.0
260.0,210.0
0.0,0.0
243.0,193.0
127.0,113.0
133.0,97.0
0.0,0.0
243.0,193.0
238.0,210.0
244.0,230.0
110.0,96.0
133.0,97.0
127.0,113.0
133.0,97.0
110.0,96.0
133.0,97.0
127.0,113.0
133.0,97.0
110.0,96.0
355.0,327.0
0.0,113.0
207.0,97.0
93.0,96.0
243.0,97.0
0.0,113.0
260.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
482.0,327.0
0.0,96.0
243.0,97.0
0.0,113.0
260.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
260.0,97.0
0.0,96.0
465.0,327.0
0.0,113.0
260.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
44783.0,5640.0
345.0,97.0
93.0,153.0
594.0,327.0
1323.0,280.0
2818.0,593.0
1953.0,400.0
3656.0,1098.0
3388.0,640.0
1267.0,393.0
0.0,113.0
449.0,137.0
0.0,96.0
465.0,327.0
0.0,113.0
260.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
260.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
482.0,327.0
0.0,96.0
243.0,97.0
0.0,96.0
243.0,97.0
0.0,113.0
260.0,97.0
0.0,96.0
