DL_bitrate,UL_bitrate
0,217
104147,45821
122455,53859
112100,54175
106782,55028
116608,55898
112650,55841
121395,52264
113894,54589
120526,53952
108862,49399
114949,52449
114450,51065
114359,54014
115212,52383
90861,53789
117638,54469
97543,53920
130065,51267
118694,48562
118532,52649
97645,53938
114264,45232
120176,43717
116710,46352
115299,47560
102188,52141
116161,51183
109511,43619
101825,53945
115418,52227
119326,47262
124284,47547
125819,27825
118745,24273
116936,31523
125917,28866
111098,28080
90386,20530
106111,14730
134601,8383
128249,12685
130609,12461
133506,12895
112220,9048
104350,9596
132046,9130
114429,53731
100526,54245
131831,27127
93199,23470
124632,50843
131614,52251
118497,55052
133271,56117
128838,51882
133165,37596
134628,10588
124036,55124
131064,47831
125220,16371
134100,10681
134599,10952
133296,10871
135289,16604
102077,42123
97900,49106
126910,44219
125920,51428
123820,52119
128596,54446
113260,54542
96312,47668
111541,39315
105389,30330
84645,26852
92419,18863
93344,24545
83832,35686
90590,56794
113529,54716
133348,52523
133774,54356
114672,56964
104238,54649
124506,52657
96878,45068
53873,19749
128968,11345
95251,13161
43050,10771
46751,12996
36512,14397
33697,20323
47186,44926
45393,20267
33700,17536
44241,21288
47528,39722
52451,49506
47198,55698
44422,46350
45915,46686
99951,55936
92520,53935
40572,55123
42061,54851
58869,54134
48345,54725
55718,54999
49384,55148
64790,55976
65271,53257
55458,45849
57526,23573
47474,28522
47950,22147
69544,53645
51377,38037
48529,28067
50661,37817
53455,47398
53589,55237
45904,54975
69969,55120
121582,55029
134076,56261
133151,55054
97453,44833
62385,50178
48202,55487
46476,54605
51282,54884
72853,55131
77942,55134
95779,54589
94865,55061
85745,41325
94128,54546
42816,55334
42020,55568
42057,54230
36055,37448
38698,23678
45293,21292
54332,16387
68861,16880
81053,20413
131335,40605
122165,22809
131154,29446
133249,58166
133451,72752
126892,74521
118722,72314
113084,72926
134076,73010
128792,73626
134945,74189
128593,71822
131161,73056
131572,72610
104906,88053
111050,87465
56010,86856
129577,86149
133099,88418
128650,89007
124925,85028
130627,89026
83334,87441
47870,86471
61816,52347
121201,25053
133906,26951
134451,35320
134357,85958
129965,103652
128956,101322
128732,103258
133748,102962
129029,103951
127643,104471
132704,102975
126416,104808
129014,103574
131908,97561
127284,40399
111149,33016
67370,24736
58288,29521
53792,30171
58509,53834
62045,68575
86573,121846
64021,122902
58011,124199
48829,124317
49290,124265
59492,124103
62264,127658
82628,120384
66394,128969
58455,122562
46221,49441
48810,34960
47274,28620
40835,47107
50489,67681
57409,86171
55614,120861
63028,138636
79025,140263
133540,140903
134354,139854
133234,140807
130418,139914
116177,141139
106931,137739
118224,139879
134153,112352
133546,28973
134970,55609
112874,31384
81055,51956
104516,63406
73928,47498
90974,93458
133023,52431
117727,38713
70597,18590
54486,14755
56768,18428
89332,22935
135200,26618
102403,62397
89351,51254
104512,49335
110820,29818
111008,35809
129386,41272
73435,28380
102684,46478
135845,56395
135252,38917
129594,28828
122437,77866
111501,112951
127629,111360
93852,53164
132833,19394
99368,22607
116451,25068
88235,23365
93875,35889
89697,24897
117945,26032
97719,33209
100711,34072
98506,107182
133378,123279
133845,119189
129031,82738
124534,89472
88415,71115
102264,40241
125037,24554
87401,27638
88131,27815
101001,28526
115255,37881
108101,40914
75652,34146
58087,20907
90515,24158
114376,16563
96715,22141
105627,20990
116964,23817
74457,29712
68264,65077
80561,89742
113011,72321
96424,54756
74234,40420
94849,32045
69815,91371
74602,123034
132577,122341
135073,124030
95189,124219
82083,111205
74325,115595
115302,120133
134772,115306
119250,122948
131400,123467
136619,119609
133866,120681
122619,123604
105535,123017
74110,118467
83787,97577
71599,102898
74618,113060
73476,115154
118480,121477
132058,114627
104642,113746
124660,120843
118311,111130
93013,99722
101621,101465
100139,117166
68127,118415
108389,119334
106846,121605
66290,118775
70294,121887
103496,122883
132532,124200
101998,116966
75074,123230
57045,121745
77552,122348
69591,127155
64955,123420
63547,116368
56455,116236
56335,120696
50059,123515
45312,118578
71469,118309
50993,121369
68764,120620
57304,114480
49327,116580
41672,126208
105988,120483
134116,124156
108279,118976
112281,123396
118280,124543
118150,116906
133904,113792
134393,109885
129047,114762
133887,119505
133714,122661
135172,121348
102584,124131
52391,116849
43258,125426
23374,115957
25627,119896
18600,113959
16033,113417
15391,105754
18488,120803
19520,115010
20232,121242
22044,111438
19173,117537
19483,119290
20211,125903
18480,110421
21168,109399
17353,112392
20974,113892
21219,115704
22470,115586
24424,114463
21285,106413
25165,107789
20546,106943
17127,105708
17687,114081
17818,113166
17051,110382
15837,112157
15131,112863
15009,113235
16166,109333
13077,120444
15605,118622
14837,110406
15651,122521
15523,117229
16222,117214
14808,113960
14327,112553
15606,114499
18616,112770
20933,109098
18737,108270
19112,105156
15287,109854
14068,105116
14966,111498
26053,116077
88217,111069
133051,116804
89348,113009
29524,107254
23124,111085
30685,116124
15186,117208
15194,115389
13942,113195
15123,106655
15049,114326
14583,113190
13256,111971
14371,113007
14988,117952
14930,114664
14789,108371
14748,89249
14518,99428
13260,113396
15290,117140
19507,109683
19549,114162
30771,115267
28584,72682
28533,23857
21142,35186
16844,18242
16296,22699
15194,24942
13356,28207
12542,31592
19475,46451
29987,43871
18986,42214
18984,42240
26986,43183
36819,33749
54385,44682
75766,118810
121554,124150
88110,112661
82764,114809
35985,87498
32774,84862
43765,47908
25925,65078
26666,50995
19470,119617
16130,78308
19324,34422
22141,58860
19751,52928
15297,65012
15283,57137
17717,40439
22193,46173
17403,37282
19604,42598
16482,53369
25266,55619
25916,57444
29128,62412
27544,97339
21471,53472
15651,47477
15944,44909
18058,99053
20318,32079
14781,26122
20289,46845
22569,41497
16526,40918
15280,34494
17674,32804
23561,46612
21173,31947
15249,32373
24272,42346
20492,61529
24693,57367
22299,96529
26484,110620
22997,94014
36424,78995
81291,94185
128203,119356
132456,118627
135874,128047
133834,119412
134989,127026
135363,121437
90030,95314
25700,22727
24506,21871
18536,26591
16932,21487
16269,10822
15454,10380
12848,34158
16054,85676
16183,19158
20945,62927
20981,61364
17391,62706
15521,66361
15401,97219
16007,77382
16415,76269
16865,17531
15092,68642
15679,69061
13950,13181
15276,73096
15551,64609
13455,46185
13894,57764
13742,49976
17000,99048
15827,13398
14326,13281
13688,15219
15182,12739
14189,13097
14246,18233
18647,27943
18412,32264
13858,27063
13503,26285
15101,23054
14615,21880
14592,22154
14317,18108
15184,21510
21565,17174
20760,16385
16769,18277
15194,24140
13986,19097
13481,18525
15533,20218
15392,18675
